"region","index","alpha_frac","gamma_frac","delta_frac","omicron_frac","other_frac"
"Association of Bay Area Health Officers (ABAHO)",2022-04-12,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-12,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-12,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-12,0,0,0,1,0
"Southern California Health Officers",2022-04-12,0,0,0,1,0
"California",2022-04-12,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-13,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-13,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-13,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-13,0,0,0,1,0
"Southern California Health Officers",2022-04-13,0,0,0,1,0
"California",2022-04-13,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-14,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-14,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-14,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-14,0,0,0,1,0
"Southern California Health Officers",2022-04-14,0,0,0,1,0
"California",2022-04-14,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-15,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-15,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-15,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-15,0,0,0,1,0
"Southern California Health Officers",2022-04-15,0,0,0,1,0
"California",2022-04-15,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-16,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-16,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-16,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-16,0,0,0,1,0
"Southern California Health Officers",2022-04-16,0,0,0,1,0
"California",2022-04-16,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-17,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-17,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-17,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-17,0,0,0,1,0
"Southern California Health Officers",2022-04-17,0,0,0,1,0
"California",2022-04-17,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-18,0,0,0,1,0
