index,model,estimate,archivedt
2020-03-01,can,1.8,2022-11-01
2020-03-01,ucsf,0.546031229968289,2022-11-01
2020-03-01,m.rt,NA,2022-11-01
2020-03-02,can,1.83,2022-11-01
2020-03-02,ucsf,0.58191989126795,2022-11-01
2020-03-02,m.rt,NA,2022-11-01
2020-03-03,can,1.86,2022-11-01
2020-03-03,ucsf,0.619359377995843,2022-11-01
2020-03-03,m.rt,1.2062184165386804,2022-11-01
2020-03-04,can,1.89,2022-11-01
2020-03-04,ucsf,0.658265089667376,2022-11-01
2020-03-04,m.rt,1.2399240598218615,2022-11-01
2020-03-05,can,1.91,2022-11-01
2020-03-05,ucsf,0.698578167387844,2022-11-01
2020-03-05,m.rt,1.2727004391751773,2022-11-01
2020-03-06,can,1.94,2022-11-01
2020-03-06,ucsf,0.740257786867511,2022-11-01
2020-03-06,m.rt,1.306183507320455,2022-11-01
2020-03-07,can,1.96,2022-11-01
2020-03-07,ucsf,0.783251780076941,2022-11-01
2020-03-07,m.rt,1.3386812890553825,2022-11-01
2020-03-08,can,1.97,2022-11-01
2020-03-08,ucsf,0.827472987909328,2022-11-01
2020-03-08,m.rt,1.3701637591422966,2022-11-01
2020-03-09,can,1.98,2022-11-01
2020-03-09,ucsf,0.87276866486148,2022-11-01
2020-03-09,m.rt,1.3989155721412914,2022-11-01
2020-03-10,can,1.99,2022-11-01
2020-03-10,ucsf,0.918892088210547,2022-11-01
2020-03-10,m.rt,1.4265222901635592,2022-11-01
2020-03-11,can,1.99,2022-11-01
2020-03-11,ucsf,0.965502308722054,2022-11-01
2020-03-11,m.rt,1.4528605102990138,2022-11-01
2020-03-12,can,1.99,2022-11-01
2020-03-12,linlab,2.26755298093614,2022-11-01
2020-03-12,ucsf,1.01220101857427,2022-11-01
2020-03-12,m.rt,1.640732399488767,2022-11-01
2020-03-13,can,1.99,2022-11-01
2020-03-13,linlab,2.29749426212556,2022-11-01
2020-03-13,ucsf,1.05858604111829,2022-11-01
2020-03-13,m.rt,1.819250384787009,2022-11-01
2020-03-14,can,1.98,2022-11-01
2020-03-14,linlab,2.0044386094692,2022-11-01
2020-03-14,ucsf,1.1042738220785,2022-11-01
2020-03-14,m.rt,1.9866666666666666,2022-11-01
2020-03-15,can,1.96,2022-11-01
2020-03-15,linlab,2.06921433640776,2022-11-01
2020-03-15,ucsf,1.14889065533057,2022-11-01
2020-03-15,m.rt,1.9766666666666666,2022-11-01
2020-03-16,can,1.94,2022-11-01
2020-03-16,linlab,1.9929588284822,2022-11-01
2020-03-16,ucsf,1.19204258514712,2022-11-01
2020-03-16,m.rt,1.96,2022-11-01
2020-03-17,can,1.92,2022-11-01
2020-03-17,linlab,2.03037026023862,2022-11-01
2020-03-17,ucsf,1.23328464684187,2022-11-01
2020-03-17,m.rt,1.9400000000000002,2022-11-01
2020-03-18,can,1.89,2022-11-01
2020-03-18,linlab,1.98699463338227,2022-11-01
2020-03-18,ucsf,1.27209432932027,2022-11-01
2020-03-18,m.rt,1.9166666666666667,2022-11-01
2020-03-19,can,1.86,2022-11-01
2020-03-19,linlab,2.16205493705731,2022-11-01
2020-03-19,ucsf,1.30786037501512,2022-11-01
2020-03-19,m.rt,1.89,2022-11-01
2020-03-20,can,1.83,2022-11-01
2020-03-20,linlab,2.00777114691933,2022-11-01
2020-03-20,ucsf,1.33990585017977,2022-11-01
2020-03-20,m.rt,1.86,2022-11-01
2020-03-21,can,1.8,2022-11-01
2020-03-21,linlab,3.07706706905538,2022-11-01
2020-03-21,ucsf,1.36754159627091,2022-11-01
2020-03-21,m.rt,1.83,2022-11-01
2020-03-22,can,1.76,2022-11-01
2020-03-22,linlab,2.0955675824083,2022-11-01
2020-03-22,ucsf,1.39013892611766,2022-11-01
2020-03-22,m.rt,1.7966666666666669,2022-11-01
2020-03-23,can,1.72,2022-11-01
2020-03-23,linlab,1.95885291430506,2022-11-01
2020-03-23,ucsf,1.40720866064641,2022-11-01
2020-03-23,m.rt,1.76,2022-11-01
2020-03-24,can,1.69,2022-11-01
2020-03-24,linlab,1.8298244921497,2022-11-01
2020-03-24,ucsf,1.41846577670363,2022-11-01
2020-03-24,m.rt,1.7233333333333334,2022-11-01
2020-03-25,can,1.65,2022-11-01
2020-03-25,linlab,1.72480740308297,2022-11-01
2020-03-25,ucsf,1.42386121248186,2022-11-01
2020-03-25,m.rt,1.6866666666666665,2022-11-01
2020-03-26,can,1.6,2022-11-01
2020-03-26,linlab,1.62516951534563,2022-11-01
2020-03-26,ucsf,1.42356707374375,2022-11-01
2020-03-26,m.rt,1.6466666666666665,2022-11-01
2020-03-27,can,1.56,2022-11-01
2020-03-27,linlab,1.55395618123541,2022-11-01
2020-03-27,ucsf,1.41791481300912,2022-11-01
2020-03-27,m.rt,1.6013187270784701,2022-11-01
2020-03-28,can,1.52,2022-11-01
2020-03-28,linlab,1.07734436941465,2022-11-01
2020-03-28,ucsf,1.40732587683945,2022-11-01
2020-03-28,m.rt,1.5204273526916199,2022-11-01
2020-03-29,can,1.47,2022-11-01
2020-03-29,linlab,1.29544398764281,2022-11-01
2020-03-29,ucsf,1.39229902240867,2022-11-01
2020-03-29,m.rt,1.45119369349451,2022-11-01
2020-03-30,can,1.43,2022-11-01
2020-03-30,linlab,1.26631233437001,2022-11-01
2020-03-30,ucsf,1.37345744656017,2022-11-01
2020-03-30,m.rt,1.3910274486027634,2022-11-01
2020-03-31,can,1.39,2022-11-01
2020-03-31,linlab,1.19467444271964,2022-11-01
2020-03-31,ucsf,1.35159622518207,2022-11-01
2020-03-31,m.rt,1.3724508980503032,2022-11-01
2020-04-01,can,1.34,2022-11-01
2020-04-01,linlab,1.18114288742265,2022-11-01
2020-04-01,ucsf,1.32766555278155,2022-11-01
2020-04-01,m.rt,1.3509064081745965,2022-11-01
2020-04-02,can,1.3,2022-11-01
2020-04-02,linlab,1.07806994247665,2022-11-01
2020-04-02,ucsf,1.3026958976473,2022-11-01
2020-04-02,m.rt,1.32642059265454,2022-11-01
2020-04-03,can,1.26,2022-11-01
2020-04-03,linlab,1.04969582268571,2022-11-01
2020-04-03,ucsf,1.27770361960452,2022-11-01
2020-04-03,m.rt,1.29588851759385,2022-11-01
2020-04-04,can,1.23,2022-11-01
2020-04-04,linlab,1.03994165224495,2022-11-01
2020-04-04,ucsf,1.25360953134814,2022-11-01
2020-04-04,m.rt,1.2633333333333334,2022-11-01
2020-04-05,can,1.2,2022-11-01
2020-04-05,linlab,0.925717937413916,2022-11-01
2020-04-05,ucsf,1.23119086631527,2022-11-01
2020-04-05,m.rt,1.23,2022-11-01
2020-04-06,can,1.17,2022-11-01
2020-04-06,linlab,0.902756432212363,2022-11-01
2020-04-06,ucsf,1.21105610586846,2022-11-01
2020-04-06,m.rt,1.2,2022-11-01
2020-04-07,can,1.14,2022-11-01
2020-04-07,linlab,0.930533136565005,2022-11-01
2020-04-07,ucsf,1.19363694781854,2022-11-01
2020-04-07,m.rt,1.17,2022-11-01
